城市,县,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
安徽阜阳,太和县,170.322666603835,165.610479660429,172.210134361266,181.328724433328,172.690254244966,184.47427738981,211.76520526578702,229.079238870903,260.641738776355,287.851944014131,298.853197800744,315.70019560886095,343.84247378649604,380.661527557274,429.65168121506395,436.138840850598,427.23634651317104,426.44048499286197,421.872490571288,451.10390537187703,448.100025790706
安徽阜阳,阜南县,110.31774605033699,111.86532243117,117.77368551209699,124.38842413341999,118.431133431666,128.046415476839,146.155224613757,158.378017536653,181.779977425563,201.774573662156,212.92375601456303,226.643074206065,246.84658541720103,266.36447873638,297.226521770327,301.51915217119,296.179860198933,316.140065183047,293.776433353361,310.82632197582296,319.570745946473
安徽阜阳,颍上县,189.070696037763,190.563588374014,199.961706582157,210.54157415241002,200.50917948665102,216.541456960181,248.03054885158403,270.266625615349,310.30501050513004,361.311377935144,402.007932208328,421.079589426136,458.615641368392,498.76621155602095,544.9513435903069,560.987745674242,550.3521639244101,550.923573175451,510.709493218827,533.459349768742,552.922928105187
安徽阜阳,界首市,103.675480133127,98.1004752128657,102.82246040254299,108.104048395476,103.491986626847,110.11398923529102,125.098606905298,135.326734237137,153.77009888550498,167.377348291337,170.28271300569799,180.742157863378,196.85395049374802,211.323752370815,246.931640903077,250.892016562993,245.80624184553002,270.293529866051,270.772234227506,278.59552450384297,289.26564054607604
安徽宿州,埇桥区,333.946935465808,318.130520446164,330.186002945718,350.059063582908,341.26177175402404,365.502861307586,417.598376371949,458.09021135493697,534.642432539066,609.1737372248671,646.4832454591531,695.463120515339,757.5537891294961,819.491481804778,920.4143467096881,965.425821126141,1040.44032278141,1081.24800444519,1013.35147877066,1044.53775482287,992.8364780921809
安徽宿州,砀山县,110.57969456538099,108.787253580846,118.17588221095,125.195307615931,119.460817615643,129.28760613612,147.122861391568,159.151703254504,180.97895691380901,196.856669707994,202.284604689579,214.46706777165,233.585180351629,253.75168720974298,295.784374648685,300.75920231574196,296.782500249608,307.12671835268003,304.258074180479,331.68729124171097,333.063084675931
安徽宿州,萧县,193.299293494916,187.105084047807,208.98490208687002,221.26945681760998,211.81825323609397,227.990051399517,260.252222066983,281.644356760223,323.71564423418005,357.71428247152903,369.4712683679,386.157518213761,420.86674973089896,457.08620505560003,493.14220824533396,500.26413341509004,494.483886285449,505.48611470201496,449.544596168284,475.437397802735,505.236385828038
安徽宿州,灵璧县,117.465198389419,112.332220515208,115.43045257095,121.76605281526001,116.179790046361,124.4154696676,141.77982353148,154.418567098237,176.922175612343,194.243155035212,197.753114310419,208.97764520649397,227.606417396407,247.90424747232703,276.099066438278,296.525195978244,303.163394903804,304.437377529044,278.755948661072,281.44198769158197,266.896503282963
安徽宿州,泗县,69.22925040472269,71.141433990081,74.4413629138821,79.9731560733962,77.2088615239747,83.5117536124987,96.8478201096339,106.51831897831501,124.571609263488,139.078323823678,150.270975989656,161.762771334914,177.041347721922,191.435657915068,221.513797884145,227.044066337259,223.154065823134,227.289872793505,204.43423759627998,211.35179680154098,233.70967585045
安徽六安,金安区,110.373877874989,108.35494054007,115.517886635919,124.33340935052199,118.95470166080699,142.347895909148,169.10504471358502,197.358124438993,240.254474783637,267.927407422701,282.50042817160204,311.14514284202903,340.439667210917,388.684758824892,468.409385109181,489.841963968942,487.21675626261396,497.46376579132897,469.553063136072,493.22010903913906,503.42075563500003
安徽六安,裕安区,103.507084659169,101.662734668859,104.256379068021,111.771700588707,107.29658242527,122.58147152926,145.860726463988,168.071844472086,200.7460759942,243.08496687711002,249.59786759248402,266.353790634853,290.097211050723,326.74269369947,360.82520983472,379.07022551526796,374.664864445545,387.97369989278303,356.77075933187996,377.84383729666604,374.46874161608304
